"DATE TIME (UTC)","MMSI","LATITUDE","LONGITUDE","COURSE","SPEED","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","AISTYPE","A","B","C","D","DRAUGHT","DESTINATION","ETA"
"2023-04-01 06:04:57",374859000,40.19447,26.38571,201.8,12.9,192,0,9708679,"MSC MAYA","3EZI",71,145,251,36,23,13.5,"GR PIR","04-02 04:00"
"2023-04-01 06:12:34",219629000,29.85655,122.94450,16.7,10.6,15,0,9632131,"MARGRETHE MAERSK","OWYZ2",71,146,253,30,30,12.1,"CN NGB > CN SGH","04-01 13:00"
"2023-04-01 06:17:26",219018864,29.89025,122.04507,19.0,0.1,289,5,9619945,"MADISON MAERSK","OWJG2",71,146,253,30,30,13.4,"CNNGB >> CNXIM","04-02 12:00"
"2023-04-01 06:25:00",228386800,36.36718,-1.63305,262.5,14.4,263,0,9839131,"CC CHAMPS ELYSEES","FLZF",71,114,285,24,37,15.8,"ESALG","04-01 22:00"
"2023-04-01 06:36:51",636017685,5.58971,83.81659,87.5,19.1,87,0,9767388,"MSC RIFAYA","D5MF9",71,159,241,25,34,13.5,"SGSIN","04-04 12:00"
"2023-04-01 06:38:37",248794000,35.06818,128.81177,53.4,0.0,259,5,9776432,"CMACGM LOUIS BLERIOT","9HA4811",71,128,271,29,29,11.4,"NINGBO","04-03 02:00"
"2023-04-01 12:00:00",374886000,38.33492,14.70180,93.8,19.3,93,0,9647461,"MSC HAMBURG","3FYY8",74,163,236,19,35,13.2,"ITGIT","04-01 17:30"
"2023-04-01 12:00:14",219018501,3.60327,105.73427,209.5,19.4,209,0,9619919,"MAJESTIC MAERSK","OWJD2",71,146,253,30,30,15.0,"TANJUNG PELEPAS","04-02 02:00"
"2023-04-01 12:00:17",219021000,22.64270,113.68282,348.0,0.0,348,5,9632117,"MUNKEBO MAERSK","OWUQ2",71,146,253,30,30,11.6,"CNNPO > CNNAN","03-31 22:00"
"2023-04-01 12:02:55",636017685,5.65327,85.55421,86.6,18.7,86,0,9767388,"MSC RIFAYA","D5MF9",71,159,241,25,34,13.5,"SGSIN","04-04 12:00"
"2023-04-01 12:03:05",219018864,29.59663,123.01458,131.3,17.1,133,0,9619945,"MADISON MAERSK","OWJG2",71,146,253,30,30,13.4,"CNNGB >> CNXIM","04-02 14:30"
"2023-04-01 12:03:32",219018692,35.93360,-6.38777,105.0,11.3,104,0,9619921,"MARY MAERSK","OWJE2",71,146,253,30,30,15.4,"NLROT   >   MAPTM","04-01 16:00"
"2023-04-01 12:04:17",636017577,37.92909,-8.84138,306.8,0.0,127,5,9754965,"MSC REEF","D5LQ2",70,145,253,35,24,14.2,"ANTWERP","04-04 10:00"
